time	geo	champ	r	rb
2009-01-01	IT	md	0.04860631635929678	0.05650432488246333
2009-01-01	IT	mdhfi	0.04612125841517853	0.0530299150885144
2009-01-01	IT	mdhi	0.058179228778405444	0.07645900853354068
2009-01-01	IT	mdhifi	0.05268403851902125	0.06904324220856665
2009-01-01	IT	mdhim	0.06100466506906287	0.07596693983862182
2009-01-01	IT	mdhimfi	0.04280678780431663	0.05609895333815531
2009-01-01	IT	tb	0.04983609001562793	0.05663789101624827
2009-01-01	ES	md	0.06009568073727484	0.06582815827656462
2009-01-01	ES	mdhfi	0.05550764765905714	0.05986057495255211
2009-01-01	ES	mdhi	0.08849191506294231	0.09978705174852531
2009-01-01	ES	mdhifi	0.08030365592192465	0.08903084179360746
2009-01-01	ES	mdhim	0.08289957616889555	0.09242883994496662
2009-01-01	ES	mdhimfi	0.06737428946150242	0.07469634647562846
2009-01-01	ES	tb	0.05743358150139141	0.06232673177764628
2009-01-01	NL	md	0.05204391354588353	0.059846685968654646
2009-01-01	NL	mdhfi	0.04202521769795456	0.04794006070185765
2009-01-01	NL	mdhi	0.1276491811652621	0.14799869837796142
2009-01-01	NL	mdhifi	0.10707710234694846	0.12339119978749126
2009-01-01	NL	mdhim	0.10130977108839019	0.11597653454219227
2009-01-01	NL	mdhimfi	0.07521337971863103	0.08667277092989555
2009-01-01	NL	tb	0.04491489803858965	0.05118944123461465
2009-01-01	BE	md	0.02890065367671246	0.037336703828135816
2009-01-01	BE	mdhfi	0.02775239655528906	0.0345936980486164
2009-01-01	BE	mdhi	0.03739680852587386	0.05450752443881856
2009-01-01	BE	mdhifi	0.03559072583589754	0.04996968872804311
2009-01-01	BE	mdhim	0.04145821090496448	0.057041432380442625
2009-01-01	BE	mdhimfi	0.032207974282057315	0.045220276115075043
2009-01-01	BE	tb	0.031168286986827463	0.03876362876034539
2008-01-01	DE	md	0.05637962518091382	0.06558287020927192
2008-01-01	DE	mdhfi	0.05600697461846051	0.06466563810222815
2008-01-01	DE	mdhi	0.09189702676774979	0.11502925355856114
2008-01-01	DE	mdhifi	0.09266439360213166	0.11506669484548436
2008-01-01	DE	mdhim	0.0935074063246481	0.1114044830554048
2008-01-01	DE	mdhimfi	0.07091076693046441	0.08805396833093085
2008-01-01	DE	tb	0.06008860549167964	0.06791024153593017
2008-01-01	FR	md	0.046467548791992275	0.057025809207123045
2008-01-01	FR	mdhfi	0.047795962002885606	0.057235471501445735
2008-01-01	FR	mdhi	0.07749059463544387	0.11728918953692197
2008-01-01	FR	mdhifi	0.08444996184720042	0.12150201354132768
2008-01-01	FR	mdhim	0.06254151399823574	0.08522154855836718
2008-01-01	FR	mdhimfi	0.04698862552456348	0.06760467962204476
2008-01-01	FR	tb	0.05018781513868822	0.05926298824731742
2008-01-01	IT	md	0.05781050643561987	0.06820378753206932
2008-01-01	IT	mdhfi	0.05443712548353647	0.06369032654356992
2008-01-01	IT	mdhi	0.07760658770318865	0.10127136437810237
2008-01-01	IT	mdhifi	0.07055833205170904	0.09210989094867188
